rt_bin,precursor_mz,rt_seconds,log10_ms1_height,ms1_n_peaks,ms2_n_peaks,ms2_log10_total_intensity,ms2_log10_max_intensity,ms2_frac_top3,n_samples_detected,log10_mean_detected_intensity,log10_max_detected_intensity,confidence_exact
43,525.22876,260.57,4.255273,4,68,6.275544,5.840907,0.558303,11,2.681643,3.145739,0.031
43,763.31453,260.63,3.823474,7,23,5.236998,4.774553,0.724643,10,1.905893,2.478410,0.038
43,737.30011,260.63,4.170262,7,21,5.232345,4.724223,0.659911,8,2.294632,2.904670,0.055
43,343.14987,260.31,4.070776,5725,84,6.555470,5.873326,0.356303,11,2.768126,3.060253,0.019
43,145.06436,260.65,3.769082,4,53,6.362722,5.974381,0.595010,11,2.674581,2.986064,0.074
43,482.25456,260.68,4.210051,7,55,6.462098,5.974381,0.524286,10,2.544855,2.935713,0.031
43,489.23871,260.76,4.338058,16,33,6.284063,5.944943,0.663202,12,2.346614,3.038832,0.019
43,611.20197,260.80,4.068557,7,68,6.469088,5.974381,0.495124,12,2.514591,2.844342,0.735
43,363.19124,260.83,3.738860,3,61,5.577154,4.994880,0.397457,11,1.784600,2.280287,0.070
43,333.0896,260.84,3.869877,3,94,6.621833,5.961328,0.370942,3,2.310045,2.686426,0.310
43,167.06515,260.84,4.447468,15,15,5.495828,5.193273,0.756495,5,2.972055,3.264752,0.026
43,187.07343,260.84,5.023252,7,76,6.613483,5.961328,0.378143,11,3.845108,4.062101,0.044
43,615.23749,260.84,3.997386,4,75,6.533078,6.022337,0.463218,11,2.684105,2.857353,0.223
43,273.06873,260.85,5.466423,7,81,6.613780,5.961328,0.377884,4,3.956897,4.435553,0.050
43,789.28669,260.85,3.883093,8,74,6.544139,5.974381,0.434038,14,1.995686,2.774107,0.347
43,313.08038,260.86,4.990250,4,55,5.589504,4.841197,0.326883,9,2.917378,3.761600,0.208
43,237.18272,260.89,4.561221,3,106,6.606020,5.974381,0.426075,11,3.078462,3.349161,0.093
43,427.19174,260.91,3.825751,14,61,6.222409,5.840907,0.630965,8,1.944564,2.553244,0.042
43,563.16928,260.98,3.814248,7,60,6.230182,5.320870,0.312123,13,1.721084,2.593983,0.165
43,161.09498,260.99,4.171434,5,79,6.598374,5.961328,0.391529,11,3.142506,3.311245,0.025
43,439.22523,260.99,3.892873,10,76,6.550640,5.873326,0.360289,11,2.595283,2.797849,0.268
43,163.08125,260.99,3.838660,15,36,5.454120,4.841197,0.446453,12,2.675493,2.859946,0.012
43,137.05922,261.02,4.126456,12,81,6.611804,5.961328,0.379607,11,2.905681,3.081315,0.221
43,711.19812,261.37,3.952211,7017,97,6.659271,5.961328,0.340305,9,2.406246,2.645772,0.145
43,233.07833,261.03,5.470263,2,79,6.601576,5.961328,0.388654,11,4.254745,4.482821,0.195
43,329.11199,261.08,4.359835,3,49,5.551741,4.841197,0.356578,12,2.906200,3.201535,0.036
43,345.14451,261.08,4.602494,16,40,5.461980,4.768301,0.397639,12,3.001402,3.504063,0.041
43,731.2788,261.08,3.725258,13,49,6.332427,5.974381,0.678226,13,1.736575,2.559220,0.048
43,690.2981,261.08,4.316180,4,33,5.045737,4.148927,0.251397,9,2.165981,2.940077,0.147
43,261.11996,261.11,4.844291,3,18,5.160843,4.709941,0.603847,8,2.957967,3.697821,0.156
43,620.28577,261.37,3.760196,6951,58,6.328595,5.897812,0.581061,12,1.918902,2.476024,0.060
43,523.15165,261.13,4.861893,3,85,6.615570,5.961328,0.376330,13,3.257753,3.721027,0.085
43,409.18083,261.14,4.378943,3,55,6.407669,5.944943,0.537414,9,2.768395,3.116876,0.011
43,375.08118,261.15,4.501880,5,81,6.607336,5.961328,0.383533,14,3.216993,3.540675,0.022
43,588.28371,261.16,4.018284,5,26,5.407429,4.841197,0.497126,12,2.250600,2.653440,0.057
43,551.09764,261.19,4.582063,5,73,6.558879,5.974381,0.419554,14,3.005216,3.400097,0.131
43,590.28056,261.20,3.752740,4,10,4.632655,4.219600,0.622013,12,2.320057,2.775367,0.071
43,337.13727,261.20,4.636187,9,28,5.330017,4.815243,0.539818,7,2.842713,3.378649,0.038
43,177.0892,261.23,5.627980,8,80,6.604220,5.961328,0.386295,11,4.391276,4.617468,0.040
43,205.08228,261.37,5.383995,6351,81,6.592810,6.022337,0.403694,11,4.076548,4.307206,0.115
43,251.08846,261.23,6.384174,6,74,6.610959,5.961328,0.380346,11,5.175029,5.389262,0.053
